Name,Link,Size,Extension,Bookmark,Category,MD5,SHA1,Deleted,Carved,Accessed,Modified,Created,Path,TrackId
Microsoft.AAD.BrokerPlugin.exe,,3900,exe,,Other files,845EE624B056289F375033993B1451ED,6146057BB910AC9301268F419A622CE3F0954E0B,false,false,Fri Oct 07 17:18:17 BRT 2022,Fri Oct 07 17:18:18 BRT 2022,Sat Jul 16 10:18:28 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..okerplugin.appxmain_31bf3856ad364e35_10.0.14393.0_none_89363817ec3cf4d0/Microsoft.AAD.BrokerPlugin.exe,5ba277613a0eef50c25535750fb89106
Microsoft.AAD.BrokerPlugin.exe,,275224,exe,,Programs and Libraries,1A5FA3D563FBABAABAA38526C16B7DBD,70816E3296C91817688CF60CE69F42A7F8B1A0C1,false,false,Wed Oct 27 16:51:04 BRT 2021,Tue Oct 05 02:57:03 BRT 2021,Wed Oct 27 16:51:04 BRT 2021,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..okerplugin.appxmain_31bf3856ad364e35_10.0.14393.5127_none_d180115c301d3605/Microsoft.AAD.BrokerPlugin.exe,0c07530d5a3f7ba77609ef4b17f061f5
ApplicationFrameHost.exe,,7347,exe,,Other files,A38D62EEA691E78D06DB382BEAF4FC15,0C6670627D941FCA9470918F64C3CD2AFE2C162D,false,false,Fri Mar 26 23:31:02 BRT 2021,Fri Mar 26 23:31:02 BRT 2021,Sat Jul 16 10:18:56 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..plicationframe-host_31bf3856ad364e35_10.0.14393.0_none_07219e8c43afd412/ApplicationFrameHost.exe,4de3ae5184d4bf7b53083a9c5b047c24
ApplicationFrameHost.exe,,50512,exe,,Programs and Libraries,6F27A494DEAC85725B87BFBC0656A382,FCE09A352E7B287507715E8061F196107C7A03F9,false,false,Fri Mar 26 16:06:12 BRT 2021,Thu Jan 07 20:21:20 BRT 2021,Fri Mar 26 16:06:12 BRT 2021,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..plicationframe-host_31bf3856ad364e35_10.0.14393.4169_none_4f6f4982878cb0be/ApplicationFrameHost.exe,84ed92562bd0bea72ff7dd57c3978732
repair-bde.exe,,88548,exe,,Other files,A3C7611C35E88D24275567A54455526D,51176AB2A8CB7A58F35F86F3F6B67B199138FB87,false,false,Tue Oct 02 20:10:47 BRT 2018,Tue Oct 02 20:10:47 BRT 2018,Sat Jul 16 10:20:05 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..restartup-repairbde_31bf3856ad364e35_10.0.14393.2155_none_47b5aed36a954a6f/repair-bde.exe,5bb92391e3cb8d9f0e5575b002fe1ac8
GenValObj.exe,,290074,exe,,Other files,0D231F43199A7AC17055FD0DD63D2CA1,F5C1654DB523527555BAF411C702496AC1D7D428,false,false,Thu Nov 08 17:35:04 BRST 2018,Thu Nov 08 17:35:05 BRST 2018,Sat Jul 16 10:18:34 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..rity-spp-validation_31bf3856ad364e35_10.0.14393.0_none_485f335639be46ad/GenValObj.exe,a4889e3607e2bb8c336acc80936a98b7
ShellExperienceHost.exe,,1653624,exe,,Programs and Libraries,F1F8E4A28017800BEDDEA618CD3CF1D3,97303E29BA8CA9596217E09540E64A4A86FD505E,false,false,Tue Oct 02 15:24:49 BRT 2018,Mon Jun 11 22:38:13 BRT 2018,Tue Oct 02 15:24:49 BRT 2018,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..riencehost.appxmain_31bf3856ad364e35_10.0.14393.2339_none_7283dcbb5990f686/ShellExperienceHost.exe,25b6efabb50900bdf95b17da6d60ed5d
GenValObj.exe,,666280,exe,,Programs and Libraries,8D68C9DCF28F519B0F8268A1D66CF9BF,FB0CA3DEC249E5E74ACF51D70AEEE0B2C94AE909,false,false,Tue Oct 02 14:59:55 BRT 2018,Sat Apr 28 03:40:31 BRT 2018,Tue Oct 02 14:59:55 BRT 2018,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..rity-spp-validation_31bf3856ad364e35_10.0.14393.2273_none_90a3938e7da1c48d/GenValObj.exe,c45d22938adbcb883eb9e22b443fce6e
RMActivate.exe,,4693,exe,,Other files,AB525A8DCED1AB9A01D4F25A9C0F8A6E,831998891F98D60CF6FE289F68D7DB7019EAAD21,false,false,Mon Aug 30 15:21:11 BRT 2021,Mon Aug 30 15:21:11 BRT 2021,Sat Jul 16 10:19:28 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..sor-native-whitebox_31bf3856ad364e35_10.0.14393.0_none_ce69dade482ac251/RMActivate.exe,046a53499a084e6f2c232a11daa16826
spaceman.exe,,36352,exe,,Programs and Libraries,C0CAD853CB3D0A8FF3A9A6B342535D0B,E274A187C18CEB7185A0895F2C3734C34A716A6E,false,false,Wed Oct 11 13:13:03 BRT 2023,Thu Dec 01 06:16:55 BRT 2022,Wed Oct 11 13:13:03 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..spaces-spacemanager_31bf3856ad364e35_10.0.14393.5582_none_bfb784b504fa88d7/spaceman.exe,292a6dc74ed5a20eb3dda7b623b03d03
